quarter,day,holiday,category,parent,brand,supplier,fulfillment,prime,labor_regime,comp_shortage,package_quality,visibility,price,discount_pct,ad_spend,avg_rating,num_reviews,historical_sales,inventory_level,shipping_time,competitor_price_diff,page_views,manufacturing_cost,vendor_funding,marketing_budget,product_age,time_on_platform,warehouse_capacity,distance_to_customer,labor_level,search_rank,packaging_quality,weekly_demand
Q4-Holiday,Tue,0,Books,Samsung,Galaxy,Publisher,FBA,1,High,0,Good,LowVisibility,56.88071152,21.96938574,2.117991793,5,10,11,2804,0.5,-2.3,1,12.59119052,0.478005696,7.483876565,328,344,2804,116,3.34,1.4,96.6,2983
Q2,Sat,0,Clothing,Nike,NikeRunning,Publisher,MerchantFulfilled,0,High,1,Good,Top100,52.66151073,27.35164835,1.201448824,4.8,1,1,71,4,-5.6,0,13.40946173,0.544597439,13.53939851,49,127,83,308,1.7,1,72.5,133
Q3,Thu,0,Clothing,Sony,NikeRunning,Importer,MerchantFulfilled,0,High,0,Good,LowVisibility,67.01423478,39.61776956,3.062545453,4.8,15,12,894,6,-0.5,1,20.35443119,0.959737953,7.232473621,75,105,894,5196,1.92,1,72.9,198
Q4-Holiday,Sat,0,Electronics,Samsung,Galaxy,AuthorizedDistributor,FBA,1,High,1,Premium,Top5,2182.554115,73.38426297,116.0044415,4.6,108,1845,2979,0.5,-28.3,357,401.7023612,43.90759572,3137.823564,14,22,2979,1378,4.11,83.1,100,1431931
Q1,Fri,0,Clothing,Nike,NikeRunning,AuthorizedDistributor,FBA,1,Low,0,Good,Top20,81.57407049,41.82897152,2.126775817,4.6,7,11,507,0.5,-2.2,0,16.10849877,1.658384319,38.96789622,20,20,641,366,0.92,23.7,94.3,2062
Q3,Tue,0,SportsOutdoor,Generic,LorealParis,Importer,FBA,1,High,0,Standard,Top100,52.69631313,37.95644052,1.948420433,4.7,11,11,3611,0.5,1.7,1,11.55221136,1.597876618,19.93648566,25,55,3611,1035,2.6,3.3,80.8,1640
Q3,Sun,0,Beauty,Generic,LorealParis,MarketplaceSeller,MerchantFulfilled,1,Low,0,Poor,LowVisibility,14.55559031,53.81127267,0.744096721,3.5,15,4,465,1,16.2,0,6.566284561,0.472210536,7.144607583,56,83,465,589,0.89,1,24.8,950
Q2,Wed,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Good,Top5,3.855743803,19.95833787,0.46331555,4.3,20,8,4425,0.5,-12.1,1,0.803941247,0.123819829,1.234844233,1161,2993,6338,36,2.24,21.2,62.9,16952
Q3,Mon,0,Toys,Generic,Galaxy,Publisher,FBA,1,Low,0,Standard,Top100,57.27533583,49.9359715,3.677804018,5,41,12,500,0.5,-9.4,7,22.3442608,0.400727826,21.7801404,87,240,500,185,1.42,36.9,96,47308
Q1,Tue,0,Beauty,Generic,Kindle,MarketplaceSeller,MerchantFulfilled,1,Low,0,Poor,Top20,25.70346873,75.1531525,1.833896679,3.7,15,12,866,1,3.9,1,6.971285806,0.912699118,11.42737922,65,80,866,878,0.25,1,37.5,2845
Q2,Mon,0,Beauty,AmazonBasics,Nescafe,ManufacturerDirect,FBA,0,High,0,Premium,LowVisibility,6.608827513,34.20557048,0.721260601,4.6,7,8,1909,0.5,-9.3,0,3.335192555,0.348246784,1.9899788,87,87,1909,184,2.04,1,86.6,3010
Q4-Holiday,Tue,0,Toys,Generic,iPhone,ManufacturerDirect,FBA,1,High,0,Premium,Top5,323.633235,25.5998047,49.4431104,5,374,105,1220,0.5,-20,99,28.29213396,14.23701506,342.1933236,27,47,2218,285,3.97,80.1,100,8118160
Q2,Fri,0,Clothing,Nike,NikeRunning,Importer,FBA,1,High,0,Good,Top100,74.35265048,10.92143968,1.450182519,5,21,7,133,1,4.7,0,55.84217575,0.295757832,2.776541285,23,37,133,305,2.33,1,100,644
Q4-Holiday,Thu,0,Books,Generic,Galaxy,Publisher,FBA,1,Medium,0,Poor,Top100,15.9148074,47.04881092,1.153732746,4.4,18,6,4963,0.5,-14.1,1,3.05657347,0.901998496,8.076528114,168,205,4963,515,2.83,21.6,35.7,14642
Q2,Fri,0,Grocery,Generic,PenguinClassics,MarketplaceSeller,FBA,1,Medium,1,Standard,Top20,2.752442919,36.5965362,0.22575014,4.2,19,20,589,0.5,-23.5,0,0.679496429,0.08726883,3.038529136,23,51,589,248,1.99,12.4,33,9064
Q3,Fri,0,Clothing,Generic,iPhone,WholesaleAggregator,FBA,1,High,0,Premium,Top5,545.4330945,13.33301518,31.23919832,5,233,29,158,0.5,-10.6,14,265.3345744,20.91539544,448.9905535,4,7,417,103,2.85,60.2,100,612648
Q4-Holiday,Sat,0,Toys,Generic,HasbroGaming,MarketplaceSeller,MerchantFulfilled,0,High,1,Good,LowVisibility,12.18795339,50.01269669,1.657110296,4.2,1,0,79,3,-2.6,0,6.991342118,0.44500091,12.15897905,8,16,79,897,2.82,1,63.4,755
Q1,Sun,0,Home,Generic,NikeRunning,Importer,MerchantFulfilled,1,Medium,0,Good,LowVisibility,33.6958481,60.44182796,0.792784583,3.9,3,2,177,5,4,0,5.776706834,0.167743623,3.866045539,27,51,177,2000,1.06,1,69.1,87
Q4-Holiday,Sun,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Peak,0,Good,Top100,2.19380843,51.40006751,0.281256761,4.6,69,32,5056,0.5,-5.5,2,0.831243891,0.103838888,1.645856673,2724,5409,10926,122,4.15,20.5,62.2,77212
Q1,Mon,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Low,0,Good,Top20,2.855557236,24.19487246,0.132635498,4.7,65,12,3562,0.5,-10.8,0,0.499318811,0.093418661,0.360717496,188,402,8354,389,0.71,1,60.7,23811
Q1,Mon,0,Electronics,Generic,Galaxy,AuthorizedDistributor,FBA,1,Low,1,Premium,Top5,1343.264704,17.88173869,15.53847229,5,315,265,114,0.5,-22.7,27,233.3218356,5.5156507,128.2371752,2,9,305,261,1.19,66.5,100,87746
Q4-Holiday,Tue,1,Grocery,AmazonBasics,SonyAudio,Importer,MerchantFulfilled,0,Peak,0,Standard,LowVisibility,2.997871398,35.47118416,0.482458279,4.1,0,2,3339,5,-3,0,2.250058104,0.109942777,2.076764553,6,12,3339,1200,4.31,1,47,1060
Q4-Holiday,Fri,0,SportsOutdoor,Generic,Galaxy,MarketplaceSeller,MerchantFulfilled,0,Peak,1,Poor,LowVisibility,84.25953557,17.24265052,1.24951872,4.2,12,8,33,4,0.3,0,20.14973937,0.413164395,3.856832238,70,72,33,1139,3,1,41.9,103
Q1,Sun,0,SportsOutdoor,Nestle,Nescafe,WholesaleAggregator,MerchantFulfilled,0,Low,0,Standard,LowVisibility,5.108617934,69.52307233,0.57408704,4.7,3,7,2034,2,1,0,3.895512529,0.078084177,2.782843345,461,461,2034,578,0.44,1,46.4,1008
Q2,Sat,0,SportsOutdoor,Samsung,Galaxy,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Standard,LowVisibility,215.9490779,35.19791207,1.409338699,4.4,8,0,12,11,13.5,0,67.28057128,0.327069424,4.787133898,25,25,16,2141,1.07,1,75,10
Q4-Holiday,Mon,0,Electronics,Loreal,Galaxy,AuthorizedDistributor,FBA,1,High,0,Standard,Top20,604.0918804,61.98967952,19.27400567,4.8,141,35,505,0.5,-15,14,336.4934052,13.45979186,506.965536,23,35,604,540,3.72,54.3,100,68280
Q2,Mon,0,Home,PG,iPhone,AuthorizedDistributor,FBA,0,Medium,0,Premium,Top5,440.973622,7.990092571,16.0208929,5,28,84,439,0.5,-5.2,18,192.3157175,11.72470244,123.184168,13,13,439,249,1.58,63.6,100,23097
Q1,Thu,0,Toys,Apple,iPhone,AuthorizedDistributor,FBA,1,Low,0,Premium,Top5,1261.326688,29.77250522,199.0764212,5,805,775,846,0.5,-24.1,245,395.4762456,27.67956084,4150.851446,11,11,846,982,1.23,79.9,100,2554352
Q3,Tue,0,Home,Generic,NikeRunning,WholesaleAggregator,FBA,1,High,0,Poor,Top20,36.57433644,47.78098727,1.06080693,3.8,3,0,107,1,-16.1,0,2.182425126,0.397944195,4.52253633,79,91,107,123,2.64,1,29.8,262
Q4-Holiday,Fri,1,Electronics,Sony,SonyAudio,MarketplaceSeller,FBA,1,Peak,1,Poor,Top5,333.1645714,53.79432396,49.35695465,4.2,187,343,602,1,-10.9,114,104.2284966,17.52719299,1026.38966,34,35,817,242,5.44,63.8,64.2,254587
Q1,Sat,0,SportsOutdoor,Generic,iPhone,AuthorizedDistributor,FBA,1,Peak,1,Premium,Top5,887.3201558,22.25690328,28.43702968,5,774,296,285,1,-10.4,47,176.9548428,24.77839089,255.4114465,7,21,285,93,3.04,74,100,527160
Q2,Wed,0,Beauty,Generic,AmazonBasics,Importer,FBA,1,Medium,0,Standard,LowVisibility,10.04904006,15.03344404,0.318725484,4.2,1,0,532,1,-8,0,4.080289911,0.241242739,1.39515018,93,93,532,216,1.78,1,67,970
Q1,Wed,0,Home,PG,Nescafe,Importer,FBA,1,Medium,0,Standard,LowVisibility,6.300417162,38.43470771,0.294291053,3.9,4,0,159,1,-16.7,0,0.791317308,0.046406115,2.300763247,27,33,159,432,1.42,1,36.7,463
Q1,Mon,0,Books,Apple,iPhone,AuthorizedDistributor,FBA,1,Low,0,Premium,Top5,452.2522549,19.11821406,26.73185001,4.9,680,151,464,0.5,-31.1,29,27.66733722,13.74911016,258.8158028,23,23,464,71,0.98,63.9,100,186943
Q2,Sat,0,Beauty,Loreal,Galaxy,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Poor,LowVisibility,38.88267011,59.16765788,2.262580271,3.8,2,7,363,4,5.7,1,16.45694865,0.282139995,15.27256667,40,77,363,1027,1.11,1,57.6,435
Q1,Sun,0,Clothing,Nike,GenericBrand,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Poor,LowVisibility,14.78418654,41.191269,0.851657556,3.2,0,0,18,6,6.2,0,2.382436968,0.555876719,5.83008953,19,22,18,357,0.85,1,11.9,3
Q4-Holiday,Tue,0,Beauty,Generic,LorealParis,Importer,FBA,1,High,0,Good,LowVisibility,23.26904698,42.68727765,1.468401541,5,5,4,695,1,-0.9,0,7.373969903,0.710907357,16.76685328,74,155,695,220,3.63,1,100,4302
Q1,Wed,0,Electronics,Apple,iPhone,AuthorizedDistributor,FBA,1,Peak,0,Premium,Top20,12616.2685,6.108625269,237.598852,5,383,61,787,0.5,-13.3,43,3753.360988,178.4935926,2604.827977,4,4,787,333,2.75,70.1,100,26045
Q4-Holiday,Mon,0,Toys,Nike,NikeRunning,MarketplaceSeller,MerchantFulfilled,0,High,0,Good,Top100,34.75594998,52.84952647,1.582002718,4.5,1,6,34,5,1.4,0,7.331075874,0.611783636,5.980720704,29,32,34,187,2.58,1,72.8,84
Q3,Mon,0,Grocery,Generic,GenericBrand,MarketplaceSeller,MerchantFulfilled,0,High,0,Poor,LowVisibility,2.327450639,33.04310976,0.107781355,3.2,1,0,1272,2,-6.2,0,0.575270919,0.079450452,0.586456108,46,101,1272,319,1.97,1,0,88
Q4-Holiday,Sun,0,Toys,AmazonBasics,HasbroGaming,ManufacturerDirect,FBA,0,High,1,Good,Top100,8.327941015,66.47813924,1.960566789,4,12,46,1672,0.5,-17.9,1,4.635288157,0.600027993,29.03869908,40,52,2321,835,3.83,16.4,53.2,56112
Q1,Fri,0,Books,Generic,PenguinClassics,Publisher,FBA,1,Medium,0,Poor,Top5,3.649820825,52.29273014,0.249515416,4.2,4,19,789,1,-10.1,0,0.266261559,0.196333696,1.316208153,323,1630,1097,94,1.46,20.1,18,5965
Q4-Holiday,Tue,1,Toys,Generic,iPhone,AuthorizedDistributor,FBA,1,Peak,1,Premium,Top5,453.2893867,69.76815299,297.8212164,5,1205,5964,1593,0.5,-25,805,133.8355121,244.8958187,5139.65992,14,25,3344,408,5.79,89,100,1391837329
Q4-Holiday,Sat,1,Electronics,Apple,iPhone,AuthorizedDistributor,FBA,1,Peak,0,Premium,Top5,19111.56027,12.35198704,1660.079452,5,3623,1847,3368,0.5,-30.2,559,8108.703636,325.5502801,7741.33198,4,8,10849,404,5.69,89.4,100,3438250
Q2,Wed,0,Beauty,Generic,SonyAudio,Importer,FBA,1,Low,0,Standard,Top20,25.13517217,39.33213603,1.306252957,4.4,3,7,451,1,-12.7,1,5.203513245,0.524997383,12.32276029,7,9,451,486,1.25,5.1,80.2,1233
Q4-Holiday,Fri,0,Home,PG,PenguinClassics,Publisher,SellerFulfilledPrime,1,High,0,Good,LowVisibility,11.78305183,23.59445424,0.110945831,4.2,0,0,185,0.5,-0.3,0,2.489805177,0.058886561,0.979697325,151,151,235,473,2.52,1,70,655
Q1,Fri,0,Beauty,Generic,Kindle,MarketplaceSeller,FBA,1,Medium,0,Poor,Top100,21.05530201,35.20906356,0.914882048,3.5,3,4,191,1,0.1,0,2.726353084,0.404756163,7.605501653,82,82,238,231,1.37,1,29.9,674
Q4-Holiday,Sat,1,Electronics,Sony,Galaxy,MarketplaceSeller,MerchantFulfilled,0,High,0,Standard,LowVisibility,405.2870378,77.17868728,31.40777276,4.5,11,4,93,9,-12.7,1,124.7849067,9.608917438,141.6016196,2,8,93,602,3.7,1,71.5,401
Q4-Holiday,Sun,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Peak,0,Standard,Top5,3.087028987,31.22147242,0.481006926,4.6,124,71,28192,0.5,-3.5,1,0.48727068,0.194476836,1.800267072,110,444,70816,264,4.33,5.8,56.9,8279
Q2,Tue,0,Toys,Loreal,GenericBrand,MarketplaceSeller,MerchantFulfilled,0,Low,0,Poor,LowVisibility,9.64268302,47.41772285,0.470397332,3.9,5,0,105,5,6.1,0,4.648127576,0.351067645,1.823234502,72,234,105,866,0.46,1,13.6,289
Q2,Mon,0,Toys,Nestle,GenericBrand,Importer,MerchantFulfilled,0,Medium,1,Good,LowVisibility,5.612551272,16.43005265,0.39144196,4.3,0,3,142,5,7.4,0,2.29374944,0.136113529,2.384411114,33,135,142,2528,1.36,1,47.5,164
Q2,Fri,0,Electronics,Apple,iPhone,AuthorizedDistributor,FBA,1,Medium,0,Premium,Top5,17820.26807,8.948887746,895.6961075,5,4735,238,1105,0.5,-13.1,329,5412.197663,297.490682,6016.032976,3,4,1105,677,1.99,92.3,100,780257
Q1,Sat,0,Grocery,Nestle,HasbroGaming,ManufacturerDirect,MerchantFulfilled,1,Low,0,Standard,Top100,1.422053484,25.75211392,0.324944686,3.9,4,8,594,1,0.2,0,0.303603284,0.2633494,2.149651168,45,96,594,75,0.75,1,31.8,4634
Q4-Holiday,Sat,0,Clothing,Nike,NikeRunning,Importer,FBA,1,High,0,Standard,LowVisibility,57.90084711,4.528815944,1.354500522,4.8,1,5,704,0.5,5.5,0,14.19113047,0.454637703,7.511374949,24,44,704,592,3.81,1,73.6,845
Q4-Holiday,Tue,0,Grocery,PG,AmazonBasics,MarketplaceSeller,MerchantFulfilled,0,Peak,0,Standard,LowVisibility,2.170910407,51.55747692,0.276875941,3.8,0,4,1292,2,-6.7,0,0.941428629,0.175232378,1.602415659,72,100,1668,172,3.19,1,17.7,725
