"season","departure_airport","weather_condition","cloud_type","jet_stream_region","arrival_congestion","aircraft_type","upholstery_style","engine_model","manufacturer_country","terminal_architecture","flight_distance","takeoff_weight","payload_weight","cruise_altitude","average_cruise_speed","headwind_tailwind_speed","taxi_out_time","airborne_time","outside_air_temperature","holding_time","ife_screens","seats_installed","checked_baggage_count","cabin_pressurization_setting","scheduled_arrival_buffer","departure_runways","meal_services","fuel_consumption"
"Summer","SEA","Rain","Cumulus","No Significant Jet","High","A320","Leather","CFM56","Consortium","Classic Terminal",989.402996034913,89926.6453212252,24687.5178063576,36921.2600914954,479.769412363508,-26.8820161329635,53.5476697336558,439.41176865539,-39.2406244678757,35.1922151226651,87,194.021907309803,175,7722.63201884093,30.3889055678493,3,2,10615.6164667946
"Spring","LAX","Rain","Stratus","Polar Jet","High","B737","Leather","LEAP-1A","Consortium","Classic Terminal",1501.84956295842,100136.586177559,23359.6984058889,40486.3380962274,489.406930687967,74.0896615220435,36.0238927792577,375.361350271198,-50.0291016172517,13.156767048237,92,195.845797335322,233,7422.80875821789,29.3883030828031,4,3,11139.487861379
"Winter","SEA","Snow","Stratus","Polar Jet","High","B737","Leather","LEAP-1A","Consortium","Concrete Hub",1373.92590679254,100332.259153,19638.8074476901,38818.1888286347,485.023134988149,56.8230963316053,114.509149887252,351.565185786357,-69.2872273053686,41.3320282289287,125,204.527018655608,196,7538.3835385555,26.9121047531475,1,3,12758.9872435907
"Fall","ATL","Snow","Cumulus","Polar Jet","Low","B737","Leather","CFM56","Consortium","Classic Terminal",531.157601119486,66317.8693731769,11217.4017584419,36902.4798503826,476.800118208891,52.9970525748206,42.8052858549447,80.1348657390345,-62.4766320507631,0,63,155.638574294769,92,7673.08346883134,5.87599255351138,1,0,1847.80581367272
"Summer","LAX","Storm","Cumulonimbus","Subtropical Jet","Moderate","B737","Leather","LEAP-1A","France","Classic Terminal",1626.65408917502,93358.3569810639,20289.8353452466,40312.8188337353,491.825436309568,12.1009785940079,52.1042014097855,460.132103647197,-32.2175930761963,34.6391981707007,95,195.677212798971,177,7564.8824548693,31.6842305053402,4,3,15866.5544978523
"Summer","LAX","Clear","Cumulonimbus","Subtropical Jet","Severe","B737","Leather","CFM56","Consortium","Classic Terminal",1059.69852659634,79021.949641822,17498.6718797024,37246.2278496731,459.696997235312,-3.01009082672281,111.306128872861,230.753352375229,-27.3326116049848,55.0608879006048,71,169.939409402156,132,7546.95427702227,62.6509623292298,1,0,8568.5630059124
"Fall","LAX","Storm","Cumulonimbus","Weak Jet","Low","A320","Standard Fabric","CFM56","Consortium","Modern Glass",503.740477099082,56474.2806778715,9869.38623477092,29499.7511000623,440.923896094107,-69.2088478123328,48.7915288943313,78.2177760477959,-45.6401230328762,41.8001307126609,41,153.367081620309,55,7405.71770771267,8.20373015304694,3,0,2478.61947748113
"Winter","LAX","Clear","Stratus","Subtropical Jet","Low","B787","Premium Fabric","GEnx","Consortium","Concrete Hub",1910.59308827068,178705.144344104,46247.616716321,45671.3441678777,529.381742659849,25.6310369595595,9.29489096678073,444.970314878218,-40.8389620910889,0,215,282.225985262992,284,5605.69450112905,7.10663258119722,5,4,12857.4493367691
"Fall","ATL","Rain","Stratus","Polar Jet","High","B737","Leather","LEAP-1A","France","Concrete Hub",739.595831417383,81671.1345470398,19197.6305782472,36471.6199471673,459.090113650095,80.9839827119305,37.5403002796433,126.367263640902,-52.4519707818952,0,82,189.86966885113,176,7212.66012711213,21.8377818508445,3,1,2902.27274651421
"Spring","LAX","Clear","Cumulus","No Significant Jet","Moderate","B787","Leather","GEnx","United States","Modern Glass",1541.30364071134,170121.920899238,41881.0752251126,42852.5646741583,502.407091306924,-23.9077577959364,51.7260129616437,301.895202895077,-40.8293689789991,0,199,256.656905148928,218,5038.45457108021,18.9112928725403,2,2,11388.1605760108
"Fall","ATL","Rain","Cirrus","Weak Jet","Low","A320","Leather","LEAP-1A","France","Concrete Hub",446.366387689746,65825.4502460448,13834.0412822105,34111.9736224897,458.94150066657,35.5566387268926,11.7780727313157,112.422720139468,-46.0940894518165,0,74,164.30911721075,114,7699.56045645056,10.2950469609808,2,2,1436.41176007888
"Summer","LAX","Storm","Cumulonimbus","Polar Jet","High","B737","Leather","LEAP-1A","France","Concrete Hub",1511.46055951232,95805.8097968613,22835.5081826779,39346.522251358,485.174104722908,38.5938249670617,127.484958087939,258.687906243551,-44.204546031799,71.724773916567,121,184.72822348387,236,7455.83606449833,16.0889625243836,1,2,14453.4767116127
"Winter","JFK","Snow","Stratus","Weak Jet","Low","A350","Premium Fabric","Trent XWB","United Kingdom","Classic Terminal",2831.98239342098,222173.759991738,56202.6278316351,44582.6284258731,526.996732694057,41.4297855410519,10.7856068125372,859.873616664259,-59.082761255383,4.45303856034621,287,341.479410068163,440,5490.6653843081,37.9027438458351,5,11,27631.8763540917
"Summer","JFK","Rain","Stratus","Weak Jet","High","A320","Leather","CFM56","Consortium","Classic Terminal",753.899377495764,75999.0633816063,17366.1461357143,37188.0404598226,450.649514788441,-32.0513379603683,205.975916660558,194.383701362518,-41.3664561083291,33.0117447721073,58,156.00803659794,160,7745.85432731884,32.08857048259,1,0,5931.03167338145
"Summer","ATL","Storm","Cumulonimbus","Subtropical Jet","High","A320","Standard Fabric","LEAP-1A","France","Classic Terminal",808.361326349782,75422.7534376736,14237.3926475997,35841.5156942355,451.818722065926,40.789191348096,66.6267414993554,183.121972374485,-36.4605651856583,27.3123783275179,66,187.954236730542,111,8081.05712940193,28.0065951826659,2,1,4840.0944976293
"Spring","LAX","Clear","Cumulus","Weak Jet","Moderate","B737","Premium Fabric","LEAP-1A","France","Classic Terminal",731.293320687509,78496.7176704373,21925.8333417433,38408.6274230243,453.257320376172,25.9555799744605,9.53795141534493,173.624029955148,-43.2129994356547,0,60,180.182739054762,131,7303.00408152285,27.1755258917242,7,0,2758.26830352098
"Spring","JFK","Clear","Cumulus","Subtropical Jet","High","A320","Standard Fabric","LEAP-1A","France","Classic Terminal",689.81083337083,72682.7560294913,15776.6462317897,36588.0340422032,429.07986425904,10.0861270138812,48.6991787339691,142.524978366354,-43.609324015091,41.6587878133315,70,178.912481248202,98,7751.9835102487,38.5767297261303,4,1,3306.80926908533
"Spring","SEA","Clear","Stratus","Polar Jet","Severe","A320","Leather","CFM56","Consortium","Concrete Hub",712.46041554451,74665.634748705,10704.4299470147,37718.7812880263,467.268794650467,9.32812172300142,34.6790373202008,94.0728377177098,-61.5403836532462,56.2632097864829,50,144.517154056994,101,7402.82464170547,20.3911981943352,2,0,3438.57043949194
"Summer","ATL","Rain","Cirrus","Subtropical Jet","Moderate","B737","Premium Fabric","CFM56","Consortium","Classic Terminal",560.078016371222,67579.84486516,17821.4102087036,37097.9294116897,462.662251841693,-13.1224974083441,53.4158093509416,112.046152646329,-29.312803248763,0,62,178.298863482007,138,7426.03042796288,8.70951488281837,3,0,2507.52391691361
"Summer","ATL","Rain","Stratus","Subtropical Jet","High","A320","Standard Fabric","CFM56","Consortium","Modern Glass",557.612881659574,55442.9790172704,6621.2875515859,36567.6545242383,450.993212856517,9.49693920219018,40.0544297440103,95.4551265283717,-32.9001267042627,14.3610519644511,62,140.53005495341,58,7885.04512589014,23.1978082743137,2,1,2037.56732939384
"Summer","JFK","Clear","Cirrus","Weak Jet","High","A320","Premium Fabric","LEAP-1A","Consortium","Modern Glass",767.036356970056,74493.7663440394,18263.2348890903,36718.898802393,446.922487601355,58.5799084462628,26.259930972342,132.368275903311,-40.5708839336552,24.8584957782675,80,164.445160739524,119,7658.31223213414,45.4281139506631,7,2,3412.71396898108
"Spring","JFK","Rain","Stratus","Polar Jet","High","B787","Premium Fabric","GEnx","United States","Modern Glass",2194.65062237338,171767.075808016,36433.8666464376,42759.8194014952,476.997984485549,42.7532538356034,73.5217018300794,314.227550187507,-55.4181347655751,14.333028114525,208,265.715316201352,204,5340.41301842422,65.5537358212948,4,3,16257.9207368694
"Summer","ATL","Rain","Cumulus","Weak Jet","Severe","A350","Standard Fabric","Trent XWB","United Kingdom","Concrete Hub",2190.75775864617,212852.961611962,54903.0077083216,41229.4230209019,484.340190271292,26.1177846756425,47.9286032540985,626.748367089344,-34.5185170760954,0,250,335.102699428865,403,5446.76768489089,67.6869125778596,6,5,19118.3736237792
"Summer","ATL","Clear","Cumulus","Weak Jet","Moderate","B787","Leather","CFM56","Consortium","Modern Glass",1615.34525660369,164039.124265827,44674.5590385548,38715.7720587044,484.009890876194,19.8765364590907,70.8853841079424,352.0746939552,-35.8952722434351,24.4663823415358,185,267.202231326581,373,5490.2941742954,23.507693545824,1,4,16254.9487033227
"Spring","JFK","Rain","Stratus","Polar Jet","High","B787","Premium Fabric","GEnx","United States","Modern Glass",2834.15411074661,180713.185291427,41523.7844518569,43777.1819143023,524.486986674869,22.1963018328489,26.1467328771518,503.839949203479,-58.8778147044471,23.4108857872733,173,267.254467951586,314,4951.91364272655,36.7732265687572,10,4,28043.0479258423
"Winter","SEA","Snow","Stratus","Polar Jet","Moderate","B737","Leather","CFM56","Consortium","Modern Glass",1293.5465613839,91240.0442020352,23253.8399082745,37931.6267490678,472.898568346159,92.5106945144056,52.4270812827234,293.643092859474,-72.7279278695108,48.8041131160406,74,186.748829298915,224,7566.64371045401,20.4803928515104,4,2,9791.81448992007
"Summer","LAX","Storm","Cumulonimbus","Subtropical Jet","High","B737","Premium Fabric","LEAP-1A","Consortium","Concrete Hub",1618.67837853666,97426.2635574287,24028.1917481296,37874.4827019749,475.888229379572,-22.8274009688376,132.509831114076,421.564326900753,-27.1997863726181,49.7770367348565,114,216.19813016631,209,7429.63725893272,66.9141007221623,5,1,18969.3610722211
"Summer","LAX","Rain","Cumulonimbus","Subtropical Jet","Severe","A320","Premium Fabric","CFM56","Consortium","Modern Glass",1204.04967172138,84399.9132051688,17722.9115761346,39581.5672885731,461.967287657761,40.8494010320447,102.076934948093,295.035666632332,-29.8271317521945,186.634417231703,48,179.029110711048,176,7793.06630014645,62.0124220536418,2,0,10567.4954693083
